,index,NAME,YEAR,DIRECTOR,RATINGS,RATING_SCORES,REVIEWS,neg,neu,pos,compound
19,19,Harakiri,1962,Masaki Kobayashi, ★★★★ ,4.0," 100-word review: Rōnin Tsugumo requests to commit harakiri within the manor of a lord, who thinks he's being scammed. Kobayashi's Harakiri — the Letterbox top 250 number three — is a film I inexplicably forgot about having seen twice already, which I'm incredibly thankful for, considering whatever unfathomable reason made it not stick with me before certainly didn't rear its ugly head again. First time giving a samurai film such a positive score, chiefly for finely balancing familiar genre ideas with excellent storytelling, and for being both singularly poignant storywise, and singularly critical of the samurai honour culture, when compared to geo-historical contemporaries. ***",0.02,0.741,0.239,0.9735
20,20,Come and See,1985,Elem Klimov, ★★★★★ ,5.0, as soon as this film ended i went online and enlisted in the US army. no child will ever suffer like this again on my watch ***,0.183,0.737,0.08,-0.4939
21,21,Come and See,1985,Elem Klimov, ★★★★★ ,5.0, What a horrible nightmare! ***,0.558,0.442,0.0,-0.5848
22,22,Come and See,1985,Elem Klimov, ★★★★½ ,4.5, (guy who's still buzzing from Spider-Man: Across the Spider-Verse) this is significantly less fun than Spider-Man: Across the Spider-Verse. ***,0.0,0.863,0.137,0.4601
23,23,Come and See,1985,Elem Klimov, ★★★★★ ,5.0, apparently elem klimov wanted to name this film kill hitler and i think that's beautiful ***,0.218,0.602,0.181,-0.2023
24,24,Come and See,1985,Elem Klimov, ★★★★★ ,5.0," 100%, no doubt in my mind, this is the best film ever made. I cannot believe this is real, I'm so fucking glad I saw this in theaters. ***",0.133,0.648,0.219,0.6214
25,25,Come and See,1985,Elem Klimov, ★★★★★ ,5.0, Playing this at my grandma’s bingo party next week. ***,0.0,0.64,0.36,0.5423
26,26,Come and See,1985,Elem Klimov, ★★★★★ ,5.0," An apocalyptic nightmare of pure brutalizing evil shot and sequenced in intimate, hyperreal historical detail. Unbearable extreme close-ups of its witnesses and beautiful roaming camera moves (ensuring we see even what the characters maybe miss) that in tandem form a series of vivid, unsparing, and surreal vignettes around the psychological experience of unimaginably barbaric horror being made tangible. You can practically smell the mud and fire and corpses, and just like the young boy in this film I too feel like I just aged 100 years in 2 hours. ***",0.182,0.734,0.084,-0.9081
27,27,Come and See,1985,Elem Klimov, ★★★★★ ,5.0, One of the greatest films ever made. Period. ***,0.0,0.656,0.344,0.6369
28,28,Come and See,1985,Elem Klimov, None ,0.0," Francois Truffaut once said that it is impossible to make a truly anti-war film, because depictions of war are thrilling by their very nature. I know he said this because I’ve heard it quoted ten thousand times, always by people who are about to name a movie that is an exception to Truffaut’s maxim. Safe to say at this point that he was wrong. Idiot. Let’s ratio him. ***",0.13,0.758,0.112,-0.34
29,29,Come and See,1985,Elem Klimov, ★★★★★ ,5.0, One can’t help but wonder what Taika Waititi would have done with this material ***,0.0,0.883,0.117,0.2144
30,30,Come and See,1985,Elem Klimov, ★★★★★ ,5.0, this makes other WWII movies look like a ride at disney world ***,0.0,0.815,0.185,0.3612
31,31,Come and See,1985,Elem Klimov, ★★★★★ ,5.0," One of the more upsetting experiences I've had in a long time, and a true document of evil so disturbing, only human beings could fathom such horror. The fact everything on screen actually occurred on my planet is proof we're doomed as a species...eventually, maybe not in our lifetime. ***",0.313,0.643,0.044,-0.9592
32,32,Come and See,1985,Elem Klimov, ★★★★★ ,5.0," fuck.. this film was so difficult to watch but it needed to be made. i've never seen anything so brutal and devastating. and because of that i'll probably never watch it again..but you really only need to see it once, its unforgettable. ***",0.284,0.716,0.0,-0.9573
33,33,Come and See,1985,Elem Klimov, ★★★★★ ,5.0, Best war movie ever made. ***,0.322,0.331,0.347,0.0772
34,34,Come and See,1985,Elem Klimov, ★★★★★ ,5.0, An experience. ***,0.0,1.0,0.0,0.0
35,35,Come and See,1985,Elem Klimov, ★★★★★ ,5.0," Come And See…? No thanks 🙈But for real, this film scarred me more than 90% of the horror films I’ve watched so far. It proves that we humans are far worse than we’ve actually thought. ***",0.205,0.729,0.066,-0.7269
36,36,Come and See,1985,Elem Klimov, ★★★★★ ,5.0," Years before the disintegration of the Soviet Union, the boundaries within the war genre are pushed one last time. So, even by the 80s, the WWII topic seemed overused, but the approach that Klimov had towards the psychological impact a human soul could possess over consciousness and rationality is breathtaking. Moreover, the last ""flashback"" montage is one of the most intense sequences you will be ever able to see. Instantly, Idi i Smotri belongs to a superior category of cinema with absolutely invigorating imagery and suicidal chaos. It's no joyous or action-oriented trip of entertainment: it is authentic horror, flawlessly filmed. Be prepared.99/100 ***",0.157,0.648,0.195,0.6345
37,37,Come and See,1985,Elem Klimov, ★★★★★ ,5.0, makes Saving Private Ryan looks like a child movie ***,0.0,0.762,0.238,0.3612
38,38,Come and See,1985,Elem Klimov, ★★★★★ ,5.0," Seeing this in a theater with other people quietly sniffling during the ending and then everyone getting up to leave the theater in dead silence is an unforgettable experience, not ashamed to admit I was holding back tears during the final moments. ***",0.189,0.757,0.054,-0.6639
39,39,Come and See,1985,Elem Klimov, ½ ,0.5, He looks like Ellen the generous ***,0.0,0.463,0.537,0.7003
40,40,12 Angry Men,1957,Sidney Lumet, ★★★★★ ,5.0, That was the best 1.5 hours of middle aged white dudes yelling at each other that I've ever seen. ***,0.0,0.819,0.181,0.6369
41,41,12 Angry Men,1957,Sidney Lumet, ★★★★★ ,5.0, when they all start ignoring the racist... one of the best scenes in cinema history there is no reasonable doubt! ***,0.266,0.588,0.145,-0.3595
42,42,12 Angry Men,1957,Sidney Lumet, ★★★★ ,4.0, the 3 best angry men1. henry fonda2. mustache 3. dude who doesn't sweat the 3 worst angry men1. the one who wants to go to his stupid baseball game shut the fuck up oh my god2. racist3. racist ***,0.318,0.546,0.136,-0.8752
43,43,12 Angry Men,1957,Sidney Lumet, ★★★★½ ,4.5," funny how a b&w studio film from the 50s that takes place all in one room directly addressed systemic racism, xenophobia, and toxic masculinity better than most movies coming out now ***",0.108,0.739,0.153,0.1779
44,44,12 Angry Men,1957,Sidney Lumet, ★★★★★ ,5.0, it's unbelievable how many times i started counting these angry men when they were all in the same shot. newsflash: they were always 12 ***,0.122,0.812,0.066,-0.3612
45,45,12 Angry Men,1957,Sidney Lumet, ★★★★★ ,5.0, Someone's gotta make an edit of this movie where they add Ace Attorney music and sound effects ***,0.0,1.0,0.0,0.0
46,46,12 Angry Men,1957,Sidney Lumet, ★★★★★ ,5.0, A new favorite. I feel dumb trying to summarize what I loved about an already established masterpiece because I know so many others have done so much better. All I’ll say is that it’s perfect in pretty much every way. A film that does literally no wrong and goes above and beyond what it needed to do. Gonna watch it again as soon as I get through these next 10 films.MASTAPIECE  ***,0.099,0.658,0.243,0.9257
47,47,12 Angry Men,1957,Sidney Lumet, ★★★★★ ,5.0, literally cheered when all 12 men became angry ***,0.243,0.515,0.243,0.0
48,48,12 Angry Men,1957,Sidney Lumet, ★★★★★ ,5.0," Absolutely one of the best classics. It's strange to describe a film taking place almost entirely in one room as thrilling, but 12 Angry Men was. As was it gripping and terrifically acted. I'm rarely so engrossed in classic, all-dialogue, black and white films, but 12 Angry Men is an exception, and an exceptional one. ***",0.182,0.698,0.119,-0.653
49,49,12 Angry Men,1957,Sidney Lumet, ★★★★ ,4.0, i never thought i'd be so thrilled to see a bunch of white men arguing for an hour and a half ***,0.126,0.716,0.158,0.188
50,50,12 Angry Men,1957,Sidney Lumet, ★★★★★ ,5.0, guess you could say that I couldn't be any fonda of this film ***,0.0,1.0,0.0,0.0
51,51,12 Angry Men,1957,Sidney Lumet, ★★★½ ,3.5," loved this reference to veronica mars season 2 episode 10 ""one angry veronica"" ***",0.181,0.604,0.214,0.1531
52,52,12 Angry Men,1957,Sidney Lumet, ★★★★★ ,5.0, I've never had Jury duty but I'm pretty sure this sets up a completely unrealistic standard for how exciting it would be. ***,0.0,0.622,0.378,0.9109
53,53,12 Angry Men,1957,Sidney Lumet, ★★★★★ ,5.0," Oh, you love 12 Angry Men? Name every angry man. ***",0.351,0.426,0.223,-0.34
54,54,12 Angry Men,1957,Sidney Lumet, ★★★★★ ,5.0," watched at an open air movie theatre. when you have watched a movie three months ago for the first time and watching it again, this time on the big screen, three months later, remembering most of the details, and still being glued to the screen... you know something has been done right ***",0.0,1.0,0.0,0.0
55,55,12 Angry Men,1957,Sidney Lumet, ★★★★ ,4.0, Guilty……. Of being a good ass movie ***,0.307,0.439,0.254,-0.1531
56,56,12 Angry Men,1957,Sidney Lumet, ★★★★★ ,5.0, A five-star film in a single room. ***,0.0,1.0,0.0,0.0
57,57,12 Angry Men,1957,Sidney Lumet, ★★★★½ ,4.5," ""It's always difficult to keep personal prejudice out of a thing like this. And wherever you run into it, prejudice always obscures the truth."" ***",0.288,0.633,0.079,-0.765
58,58,12 Angry Men,1957,Sidney Lumet, ★★★★★ ,5.0," 3 very angry men, 9 relatively pissed off men ***",0.565,0.435,0.0,-0.8313
59,59,12 Angry Men,1957,Sidney Lumet, ★★★★½ ,4.5, Came home on mushrooms when I was 17 and my parents said “Would you like to join us to watch 12 Angry Men” in unison like the Shining twins. Still not sure why I said yes ***,0.119,0.657,0.224,0.5629
60,60,Seven Samurai,1954,Akira Kurosawa, ★★★★★ ,5.0," too many sweaty ass cheeks, 5 stars ***",0.368,0.632,0.0,-0.5423
61,61,Seven Samurai,1954,Akira Kurosawa, ★★★★★ ,5.0," One of those where you finish it and kinda just sit there in disbelief that this is a movie that exists. Sheesh, what a monster. ***",0.0,1.0,0.0,0.0
62,62,Seven Samurai,1954,Akira Kurosawa, ★★★★½ ,4.5, this is what the avengers think they look like ***,0.0,0.783,0.217,0.3612
63,63,Seven Samurai,1954,Akira Kurosawa, ★★★★★ ,5.0, It is the best movie ever made. ***,0.0,0.625,0.375,0.6369
64,64,Seven Samurai,1954,Akira Kurosawa, ★★★★★ ,5.0," ""Once again, we survive."" ***",0.0,1.0,0.0,0.0
65,65,Seven Samurai,1954,Akira Kurosawa, ★★★★★ ,5.0," “This baby is me, this is what happened to me.”violence is endless and the repercussions eternal, the flames rage on as the innocents die. however, what Kurosawa also realises is that violence is the coolest thing that you can ever capture on celluloid. that central dichotomy, the merging of visceral horror and shameful pleasure at the sight of violence, is part of what makes Seven Samurai so timeless. one second, you’ll witness the sadness of a dying innocent, the other you’ll be cheering the slaughter of an enemy combatant. either way, a mother loses their child, a child loses their father. ***",0.258,0.653,0.088,-0.9723
66,66,Seven Samurai,1954,Akira Kurosawa, ★★★★★ ,5.0," So massive, so satisfying and so honest about the cost of violence. Did it in two nights with the 7 year old. Kid's got a major Mifune crush. Me too. ***",0.148,0.65,0.202,0.4747
67,67,Seven Samurai,1954,Akira Kurosawa, ★★★ ,3.0," I was going to give this 3 1/2, but then people would be all like ""oh you thought it was pretty good?"" and I can't say I thought that.I mean it was a great film for sure, but it was so hard for me to get into.Nothing hit me.Nothing made me think or feel until the last 40 minutes. It's way too long.The production and art direction were so well done, but the story and characters just weren't there for me.I really wanted to love this, but it didn't work for me.I appreciated it.I didn't really like it. ***",0.019,0.703,0.278,0.9876
68,68,Seven Samurai,1954,Akira Kurosawa, ★★★★½ ,4.5," oh to be a samurai in 16th century japan. no math no science just swords, rice, and vibes. ***",0.216,0.784,0.0,-0.5267
69,69,Seven Samurai,1954,Akira Kurosawa, ★★★★½ ,4.5, Yep. I counted ***,0.0,0.476,0.524,0.296
70,70,Seven Samurai,1954,Akira Kurosawa, ★★★★★ ,5.0," An epic tale held together firmly by all seven major characters, with so much attention invested into each of them that the entire story would deviate devastatingly if even one was removed. The simplest action like sticking a katana on dirt, or a flag on a roof, feels like a time-transcending elegy. All actions are exaggerated to amplify emotions, the evergreen comedic moments effortlessly connect audiences across decades. Features the most playful and the most uncool performance by cool samurai Toshiro Mifune. Kurosawa's most powerful and most defining work in his entire career. ***",0.069,0.775,0.156,0.8437
71,71,Seven Samurai,1954,Akira Kurosawa, ★★★★★ ,5.0, Total ripoff of A Bug's Life (1998) ***,0.0,1.0,0.0,0.0
72,72,Seven Samurai,1954,Akira Kurosawa, ★★★★★ ,5.0, if only i could give it seven stars ***,0.0,1.0,0.0,0.0
73,73,Seven Samurai,1954,Akira Kurosawa, ★★★★ ,4.0, watched this as kurosawa intended (i was playing papa's pizzeria on my phone at the same time and kept having to rewind the film because i missed what happened) ***,0.071,0.871,0.058,-0.1027
74,74,Seven Samurai,1954,Akira Kurosawa, ★★★★★ ,5.0," 💯100%My Favorite’s Ranked - Click HEREFarmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.“Danger always strikes when everything seems fine.“ - Kambei Shimada“Danger always strikes when everything seems fine.“ - also my wife whenever I’m not listening to herActually, I’m not sure what she said.I wasn’t listening.I’ll give you a serious review eventually but sweet Jesus… “What a picture.” *in Al Pacino’s voice🔙Whiplash♻️🔜Puss in Boots 2 (promise this time) ***",0.101,0.83,0.069,0.1202
75,75,Seven Samurai,1954,Akira Kurosawa, ★★★★★ ,5.0," It’s amazing how immersive this movie was considered it was made in the fifties. It’s epic runtime, and attention to both period and character details really transported me into this word of farmers and Samurai. The battles get like they had real stakes and I was so disappointed when it ended and I had to go back to boring old reality. ***",0.127,0.784,0.09,-0.38
76,76,Seven Samurai,1954,Akira Kurosawa, ★★★★★ ,5.0," I actually can't imagine a film crew behind the camera when watching Seven Samurai. It feels as if it is an entity that exists on its own right apart from a filmmaker's craft, as though I'm watching real events and not something that has been created. There isn't really much else to say to be honest...It definitely is the masterpiece that its hyped up to be.It definitely is essential viewing.It definitely is one of the greatest films ever made.It definitely is one of my favourite films.It definitely is all that.It is everything.Kurosawa Ranked List ***",0.0,0.779,0.221,0.9712
77,77,Seven Samurai,1954,Akira Kurosawa, ★★★★½ ,4.5, Not as good as Squid Game or High School DXD but it was ok ***,0.097,0.743,0.16,0.2725
78,78,Seven Samurai,1954,Akira Kurosawa, ★★★★★ ,5.0," The meticulously crafted timeless masterpiece from Akira Kurosawa will always remain as one of most favorite one among classics. With a runtime of over 200 minutes, the drama sets up n unfolds at its own pace with well fleshed out world n characters. The performances from each character is phenomenal, and along with the top class technical values, it provides you with one engrossing experience that’s definitely not to be missed out. ***",0.0,0.772,0.228,0.9484
79,79,Seven Samurai,1954,Akira Kurosawa, ★★★★★ ,5.0," this is, for lack of a better term, a magnificent film ***",0.143,0.435,0.422,0.6705
80,80,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★★ ,5.0," young, totally fuckable al pacino and robert de niro: *speak italian*me: you can make me an offer and i won't refuse ***",0.0,0.914,0.086,0.2235
81,81,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★★ ,5.0," the transition between idealism to capitalism, between loyalty to family and loyalty to business. the most tragic film of a generation. ***",0.11,0.567,0.323,0.7512
82,82,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★★ ,5.0," Vito Corleone - I am immigrant child, alone with nothing CUT TO:Michael Corleone - I run this family like a fucking corporation CUT TO: Vito Corleone - I'm Vito the hood legend CUT TO:Michael Corleone - I own stock in IBM, I own stock in AT&T ***",0.045,0.74,0.215,0.7628
83,83,The Godfather: Part II,1974,Francis Ford Coppola, None ,0.0, love that deniro sometimes does a brando impression and sometimes is simply robert deniro ***,0.0,0.663,0.337,0.7269
84,84,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★½ ,4.5, This review may contain spoilers. I can handle the truth.  yeah fredo died but young al pacino kissed him for like 5 seconds so really he was successful in this movie  ***,0.055,0.574,0.371,0.9216
85,85,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★★ ,5.0, don’t get me wrong it’s no shrek 2 but it sure is one of cinema’s finest sequels ***,0.177,0.68,0.143,0.0772
86,86,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★½ ,4.5," bitches on Letterboxd see Al Pacino in this movie and be like ""I can fix him"" ***",0.182,0.701,0.117,-0.34
87,87,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★★ ,5.0, Michael did nothing wrong. He was dealing with trauma. ***,0.21,0.599,0.191,-0.0634
88,88,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★★ ,5.0, Revenge is a dish best served with olive oil. ***,0.233,0.479,0.288,0.2023
89,89,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★ ,4.0," a lot of people will say this is a masterpiece, and you know what, i won't argue with them. but really this is a lesson from francis ford coppola about how young al pacino and young robert de niro are hot ***",0.0,0.898,0.102,0.471
90,90,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★ ,4.0," someone tell michael he doesn't know how to eat an orange correctly,,, motherfucker bit into it like an apple i don't understand ***",0.17,0.738,0.092,-0.4767
91,91,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★★ ,5.0, this really is a masterpiece and i'm not saying that just because i want both al pacino and de niro to murder me ***,0.16,0.647,0.193,-0.0056
92,92,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★★ ,5.0, young al pacino if you read this i’m free on thursday night and would like to hang out. please respond to this and then hang out with me on thursday night when i’m free ***,0.0,0.731,0.269,0.886
93,93,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★★ ,5.0," I thought there was just 1 murder daddy (Al Pacino) in this house, but there's 2 (Robert De Niro)... ***",0.151,0.849,0.0,-0.431
94,94,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★★ ,5.0, This review may contain spoilers. I can handle the truth.  top 10 anime betrayals  ***,0.0,0.745,0.255,0.4767
95,95,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★½ ,4.5, This movie has more character development in the first 10 minutes than all of Christopher Nolan’s filmography put together sorry I don’t make the rules. ***,0.051,0.949,0.0,-0.0772
96,96,The Godfather: Part II,1974,Francis Ford Coppola, ★★★½ ,3.5, michael only smiles once in this film and it’s when his brother asks how to say banana daiquiri in spanish 🥺 ***,0.0,0.866,0.134,0.4767
97,97,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★★ ,5.0," I have found God. It was a deeply emotional process, but none the less I have found him. And his name is Robert De Niro. ***",0.0,0.875,0.125,0.2492
98,98,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★½ ,4.5, Could use 10% more Frankie Pentangeli but other than that pretty great. ***,0.0,0.525,0.475,0.899
99,99,The Godfather: Part II,1974,Francis Ford Coppola, ★★★★½ ,4.5, yea uhm why the fuck didn‘t Al Pacino get an Oscar for the role of Michael Corleone?! ***,0.182,0.818,0.0,-0.5848
100,100,Parasite,2019,Bong Joon-ho, ★★★★★ ,5.0, This review may contain spoilers. I can handle the truth.  call me by your name’s cum peach walked so parasite’s killer peach could run  ***,0.159,0.762,0.08,-0.507
101,101,Parasite,2019,Bong Joon-ho, None ,0.0, Another Bong hit. ***,0.0,1.0,0.0,0.0
102,102,Parasite,2019,Bong Joon-ho, ★★★★★ ,5.0, Our expectations were high but HOLY FUCK ***,0.455,0.545,0.0,-0.7814
103,103,Parasite,2019,Bong Joon-ho, ★★★★★ ,5.0, a question to people who rate this 4.5: what more do you want literally what more do you want ***,0.0,0.845,0.155,0.2795
104,104,Parasite,2019,Bong Joon-ho, ★★★★★ ,5.0, This review may contain spoilers. I can handle the truth.  The bloody napkin scene....top 3 scenes of all time. Hands down.  ***,0.125,0.776,0.099,-0.1531
105,105,Parasite,2019,Bong Joon-ho, ★★★★★ ,5.0, This review may contain spoilers. I can handle the truth.  morse code me by your name and i'll morse code you by mine  ***,0.0,0.905,0.095,0.3182
106,106,Parasite,2019,Bong Joon-ho, ★★★★½ ,4.5, The tent won’t leak. It’s from America. ***,0.255,0.745,0.0,-0.34
107,107,Parasite,2019,Bong Joon-ho, ★★★★★ ,5.0," Watched with a live orchestra and an introduction by Bong. It was one of my favorite experiences at a theatre, obviously. ***",0.0,0.864,0.136,0.4588
108,108,Parasite,2019,Bong Joon-ho, None ,0.0, maybe the real parasite... was the friends we made along the way ***,0.0,0.795,0.205,0.4767
109,109,Parasite,2019,Bong Joon-ho, ★★★★★ ,5.0," This review may contain spoilers. I can handle the truth.  crazy rich asians walked, so that they could get stabbed in parasite  ***",0.182,0.616,0.202,0.1531
110,110,Parasite,2019,Bong Joon-ho, ★★★★★ ,5.0, This review may contain spoilers. I can handle the truth.  A garden party.A basement.A stone.A cake.A knife.A seizure.A car-key.A sausage skewer.A smell.A murder.The most thrilling scene in years.  ***,0.0,0.815,0.185,0.6901
111,111,Parasite,2019,Bong Joon-ho, ★★★★★ ,5.0," Jessica, only child ✌️ from Illinois Chicago, classmate of Kim Jin-mo, he’s your cousin✌️ 🎼 Easily, without a doubt, the best hook of 2019 ***",0.121,0.717,0.162,0.0366
112,112,Parasite,2019,Bong Joon-ho, ★★★★½ ,4.5, parasite is my minimalist architecture porn mmm yes unplastered grey stone walls mahogany floor and impractical enormous glass panels fuck my shit up ***,0.229,0.645,0.126,-0.6369
113,113,Parasite,2019,Bong Joon-ho, ★★★★★ ,5.0," I'M SCREAMING I'M CRYING THIS IS THE BEST SHIT THAT HAS EVER HAPPENED THE FILM THAT TRULY MADE ME A CINEPHILE IS THE FIRST FOREIGN FILM TO EVER WIN BEST PICTURE WE WON bong can now finally go and drink his guts out, bless his heart ***",0.156,0.502,0.343,0.941
114,114,Parasite,2019,Bong Joon-ho, ★★★★★ ,5.0," “lemons into lemonade”anyways, when you guys are eating the rich, which condiment are you choosing? i’m a ketchup girl myself ***",0.0,0.841,0.159,0.5574
115,115,Parasite,2019,Bong Joon-ho, ★★★★★ ,5.0, This review may contain spoilers. I can handle the truth.  kim ki-taek the original self isolator  ***,0.074,0.684,0.242,0.4939
116,116,Parasite,2019,Bong Joon-ho, ★★★★½ ,4.5, I hadn't seen a trailer and had no idea what the premise of it even was and BOY OH BOY did I have a wonderful couple of hours. Pure movie joy. ***,0.063,0.72,0.216,0.743
117,117,Parasite,2019,Bong Joon-ho, ★★★★★ ,5.0," Unintentionally decided now, in the middle of my Ansel binge, was a good time to rewatch this. Not realizing I also decided to rewatch Parasite in the middle of my Noah Centineo marathon. Just putting that out there as a way of thanking Bong for getting me through these tough times. ***",0.029,0.914,0.056,0.34
118,118,Parasite,2019,Bong Joon-ho, ★★★★½ ,4.5," ""No one can imitate North Korean news anchors like you"" gotta be the rarest compliment ever ***",0.101,0.642,0.257,0.5267
